bin_id;n_rec;n_super_kmers;size;2nd stage MEM;n_singatures
0;121744;11182;104448;1345536;224
1;89821;8713;80128;996608;257
2;75905;7451;68096;844800;270
3;66687;6861;61952;741888;280
4;58870;6182;55296;659712;287
5;53296;5681;50688;599552;293
6;48483;5341;47104;545280;298
7;44376;4956;43776;501248;302
8;40762;4561;40192;462336;305
9;37552;4220;37120;425472;308
10;34954;4152;35840;397056;311
11;32250;3719;32512;366592;313
12;29931;3773;32256;343552;316
13;27969;3524;30208;322304;318
14;25721;3274;27904;295680;320
15;24217;3047;26112;279040;321
16;22664;3119;26112;263424;323
17;21214;2480;21760;243200;324
18;20141;2841;23552;236544;325
19;18934;2940;24064;224000;326
20;17618;2659;21760;208640;327
21;16889;2161;18432;197888;328
22;15926;2365;19456;189440;329
23;14897;2439;19712;179200;330
24;13860;2417;19200;168192;331
25;13065;1771;15104;156416;332
26;12638;1882;15616;151808;332
27;11912;2005;16128;146176;333
28;11213;2058;16128;138752;333
29;10542;2046;16128;130816;334
30;9879;1967;15360;124928;334
31;9305;1880;14592;117504;335
32;8794;1301;10752;108288;335
33;8638;1319;11008;106752;335
34;8214;1630;12800;105216;336
35;7709;1612;12544;98816;336
36;7292;1528;11776;94464;337
37;6921;1461;11264;91136;337
38;6543;1431;11008;85504;337
39;6183;1418;10752;82944;337
40;5875;1221;9472;78080;338
41;5581;1251;9472;75264;338
42;5318;1233;9472;72448;338
511;5192;1473;11008;70912;1
43;5070;1194;9216;68864;338
44;4765;1228;9216;66560;339
45;4580;882;6912;61696;339
47;4407;709;5888;59648;339
48;4234;886;6912;58624;339
46;4407;608;5120;58624;339
49;4068;942;7168;56832;339
50;3793;904;6912;54272;339
51;3729;922;6912;52992;339
52;3399;886;6656;49920;339
53;3390;879;6656;49152;339
54;3084;846;6400;46080;340
55;3051;817;6144;45824;339
56;2839;817;6144;43264;340
57;2720;829;6144;41984;340
58;2651;807;5888;41216;340
60;2380;766;5632;38400;340
59;2380;734;5376;37888;340
61;2187;700;5120;35840;340
62;2040;653;4864;33792;340
63;2040;673;5120;33792;340
64;1982;645;4864;33536;340
66;1700;603;4608;30464;340
67;1700;605;4608;30464;340
65;1700;624;4608;29952;340
68;1569;577;4352;28160;340
70;1360;534;3840;25856;340
72;1360;551;4096;25856;340
71;1360;537;3840;25856;340
69;1360;537;3840;25856;340
73;1236;538;3840;24320;340
76;1020;492;3584;22272;340
74;1020;477;3584;21760;340
75;1020;465;3328;21760;340
78;1020;497;3584;21760;340
77;1020;474;3328;21760;340
79;857;467;3328;20736;340
87;676;437;3072;18688;339
86;678;445;3328;18688;339
85;680;401;2816;18688;340
82;680;418;3072;18432;340
80;680;427;3072;18432;340
83;680;439;3328;18432;340
81;680;449;3328;18432;340
84;680;404;3072;18432;340
89;340;340;2560;14336;340
